PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 2,860,278,26,1,0,0,305,287,8,0,0,0,295,16,1,0,0,0,17,4,0,0,0,0,4,4,0,0,0,0,4,2,0,0,0,0,2,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 3,1029,321,42,0,0,0,363,371,29,0,0,0,400,11,1,0,0,0,12,3,0,0,0,0,3,3,0,0,0,0,3,1,0,0,0,0,1,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 4,432,164,19,0,0,0,183,138,5,0,0,0,143,5,0,0,0,0,5,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 5,1335,455,24,0,0,0,479,524,21,0,0,0,545,21,0,0,0,0,21,7,1,0,0,0,8,9,0,0,0,0,9,1,1,0,0,0,2,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 6,821,274,14,0,0,0,288,332,5,0,0,0,337,8,0,0,0,0,8,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNEDY DIST 7,528,165,12,0,0,0,177,236,5,1,0,0,242,4,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILBUCK,578,198,14,0,0,0,212,226,7,0,0,0,233,13,0,0,0,0,13,4,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,1,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEET DIST 1,396,149,3,0,0,0,152,136,4,2,0,0,142,16,0,0,0,0,16,1,1,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEET DIST 2,737,251,23,1,0,0,275,253,14,0,0,0,267,20,2,0,0,0,22,6,0,1,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEETSDALE,876,288,16,0,0,0,304,265,16,0,0,0,281,18,1,0,0,0,19,5,0,0,0,0,5,8,0,0,0,0,8,2,0,0,0,0,2,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY DIST 1,919,224,3,0,0,0,227,416,13,0,0,0,429,9,1,0,0,0,10,4,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY DIST 2,787,218,6,0,0,0,224,337,14,0,0,0,351,13,2,0,0,0,15,2,1,0,0,0,3,2,0,0,0,0,2,3,0,0,0,0,3,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN,693,134,3,0,0,0,137,369,9,0,0,0,378,8,0,0,0,0,8,2,1,0,0,0,3,3,1,0,0,0,4,1,0,0,0,0,1,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 1,883,260,44,0,0,0,304,317,36,0,0,0,353,21,2,0,0,0,23,8,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 2,1080,256,43,0,0,0,299,451,37,0,0,0,488,22,3,0,0,0,25,11,1,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 3,785,233,24,1,0,0,258,283,36,1,0,0,320,13,1,0,0,0,14,10,1,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,2,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 4,1055,337,34,0,0,0,371,406,31,1,0,0,438,18,1,0,0,0,19,9,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 5,1274,361,26,2,0,0,389,511,22,1,0,0,534,24,3,0,0,0,27,21,3,0,0,0,24,4,1,0,0,0,5,3,1,0,0,0,4,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL DIST 6,970,306,34,0,0,0,340,347,29,0,0,0,376,25,3,0,0,0,28,9,5,0,0,0,14,5,0,0,0,0,5,2,0,0,0,0,2,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 1 DIST 1,1097,315,33,1,0,0,349,412,54,0,0,0,466,19,3,0,0,0,22,15,0,0,0,0,15,2,0,0,0,0,2,2,0,0,0,0,2,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 1 DIST 2,931,304,22,1,0,0,327,250,13,3,0,0,266,11,2,0,0,0,13,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 1 DIST 3,1240,363,22,0,0,0,385,413,21,1,0,0,435,28,1,0,0,0,29,13,2,0,0,0,15,10,1,0,0,0,11,2,0,0,0,0,2,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 2 DIST 1,1407,475,37,0,0,0,512,457,31,0,0,0,488,30,3,0,0,0,33,16,6,0,0,0,22,8,0,0,0,0,8,4,0,0,0,0,4,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 2 DIST 2,857,260,25,0,0,0,285,347,14,1,0,0,362,26,0,0,0,0,26,16,0,0,0,0,16,5,0,0,0,0,5,3,0,0,0,0,3,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 2 DIST 3,875,288,23,0,0,0,311,322,25,0,0,0,347,11,0,0,0,0,11,9,1,0,0,0,10,7,1,0,0,0,8,2,0,0,0,0,2,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 3 DIST 1,943,341,18,1,0,0,360,339,16,1,0,0,356,21,2,0,0,0,23,13,1,0,0,0,14,6,0,0,0,0,6,3,0,0,0,0,3,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 3 DIST 2,1071,362,21,0,0,0,383,415,20,2,0,0,437,29,0,0,0,0,29,9,0,0,0,0,9,4,0,0,0,0,4,3,0,0,0,0,3,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 3 DIST 3,1038,341,17,0,0,0,358,415,21,1,0,0,437,29,2,0,0,0,31,15,1,0,0,0,16,2,0,0,0,0,2,4,0,0,0,0,4,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 4 DIST 1,1507,467,25,0,0,0,492,600,30,1,0,0,631,43,2,0,0,0,45,16,1,0,0,0,17,11,0,0,0,0,11,7,0,0,0,0,7,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 4 DIST 2,921,298,18,0,0,0,316,337,15,1,0,0,353,24,1,0,0,0,25,10,0,0,0,0,10,6,1,0,0,0,7,2,2,0,0,0,4,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 4 DIST 3,731,245,18,1,0,0,264,290,15,0,0,0,305,22,0,0,0,0,22,18,1,0,0,0,19,2,0,0,0,0,2,3,0,0,0,0,3,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 5 DIST 1,816,249,12,0,0,0,261,356,20,1,0,0,377,19,2,0,0,0,21,4,1,0,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 5 DIST 2,1341,420,30,0,0,0,450,449,23,1,0,0,473,23,2,0,0,0,25,7,0,0,0,0,7,5,0,0,0,0,5,3,2,0,0,0,5,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 5 DIST 3,943,345,29,0,0,0,374,307,25,0,0,0,332,19,3,0,0,0,22,10,0,0,0,0,10,1,0,0,0,0,1,6,1,0,0,0,7,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 6 DIST 1,485,156,12,0,0,0,168,190,4,0,0,0,194,12,0,1,0,0,13,6,2,0,0,0,8,5,1,0,0,0,6,2,0,0,0,0,2,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 6 DIST 2,1018,326,16,1,0,0,343,426,22,0,0,0,448,19,1,0,0,0,20,14,1,1,0,0,16,5,0,0,0,0,5,1,0,0,0,0,1,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 6 DIST 3,1763,585,41,0,0,0,626,601,45,0,0,0,646,34,3,0,0,0,37,14,4,0,0,0,18,9,0,0,0,0,9,2,0,0,0,0,2,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 7 DIST 1,1588,477,57,2,0,0,536,536,30,1,0,0,567,26,4,1,0,0,31,9,2,0,0,0,11,6,0,0,0,0,6,2,0,0,0,0,2,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 7 DIST 2,973,340,28,0,0,0,368,371,26,0,0,0,397,24,1,0,0,0,25,11,1,1,0,0,13,4,0,0,0,0,4,3,0,0,0,0,3,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCANDLESS WARD 7 DIST 3,514,186,10,0,0,0,196,189,9,2,0,0,200,13,0,0,0,0,13,7,2,0,0,0,9,2,1,0,0,0,3,0,0,0,0,0,0,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDONALD,208,48,1,0,0,0,49,90,4,0,0,0,94,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 1,17,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 2,255,54,13,1,0,0,68,12,9,0,0,0,21,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 3 DIST 1,288,150,9,1,0,0,160,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 3 DIST 2,126,66,1,0,0,0,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 4,325,120,3,0,11,0,134,2,0,0,2,0,4,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 5,534,218,4,0,0,0,222,35,1,0,0,0,36,3,1,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 6 DIST 1,410,124,5,2,0,0,131,46,2,0,0,0,48,2,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 6 DIST 2,320,129,2,1,0,0,132,27,1,0,0,0,28,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 1,503,265,4,0,0,0,269,35,4,0,0,0,39,4,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 2,296,160,3,1,0,0,164,8,0,0,0,0,8,1,0,0,0,0,1,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 3,349,143,3,1,0,0,147,40,3,0,0,0,43,5,0,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 4,458,204,5,2,0,0,211,46,1,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 5,545,243,5,1,0,0,249,89,4,0,0,0,93,3,0,0,0,0,3,2,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 6,510,221,3,1,0,0,225,77,2,0,0,0,79,3,2,0,0,0,5,1,0,0,0,0,1,4,0,0,0,0,4,1,0,0,0,0,1,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 7 DIST 7,383,186,4,3,0,0,193,19,1,0,0,0,20,1,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 1,319,87,3,0,0,0,90,82,1,0,0,0,83,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 2,522,219,5,0,0,0,224,108,1,0,0,0,109,2,0,0,0,0,2,2,0,0,0,0,2,5,0,0,0,0,5,1,0,0,0,0,1,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 3,563,231,10,1,0,0,242,72,1,0,0,0,73,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,1,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 4,462,138,7,1,0,0,146,168,2,0,0,0,170,5,0,0,0,0,5,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 5,550,249,4,1,0,0,254,12,2,0,0,0,14,3,0,0,0,0,3,2,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 8 DIST 6,233,67,2,2,0,0,71,68,2,1,0,0,71,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 9 DIST 1,486,153,3,0,0,0,156,129,2,0,0,0,131,5,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 9 DIST 2,595,203,5,0,0,0,208,145,5,0,0,0,150,8,2,0,0,0,10,1,0,0,0,0,1,4,0,0,0,0,4,2,0,0,0,0,2,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 9 DIST 3,414,146,2,0,0,0,148,111,6,0,0,0,117,4,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 10 DIST 1,336,88,4,0,0,0,92,80,0,0,0,0,80,4,0,0,0,0,4,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 10 DIST 2,319,107,0,0,0,0,107,92,3,0,0,0,95,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 11 DIST 1,468,133,1,1,0,0,135,127,3,0,0,0,130,8,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 11 DIST 2,424,102,2,0,0,0,104,143,3,1,0,0,147,2,1,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,0,2,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 11 DIST 3,266,113,6,1,0,0,120,61,8,0,0,0,69,0,1,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 12 DIST 1,315,81,0,0,0,0,81,105,2,0,0,0,107,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,3,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 12 DIST 2,360,104,3,0,0,0,107,154,3,0,0,0,157,3,0,0,0,0,3,0,1,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,1,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEESPORT WARD 12 DIST 3,573,161,8,0,0,0,169,249,10,0,0,0,259,4,0,0,0,0,4,2,0,0,0,0,2,3,0,0,0,0,3,1,1,0,0,0,2,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 1 DIST 1,262,125,1,0,2,0,128,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 1 DIST 2,570,214,7,0,0,0,221,87,2,0,0,0,89,4,0,0,0,0,4,1,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,1,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 2 DIST 1,687,260,2,0,0,0,262,117,2,0,0,0,119,7,0,0,0,0,7,2,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,2,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 2 DIST 2,661,214,8,1,0,0,223,92,2,0,0,0,94,6,0,0,0,0,6,4,0,0,0,0,4,2,0,0,0,0,2,1,1,0,0,0,2,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 3 DIST 1,767,246,10,0,0,0,256,191,2,0,0,0,193,9,1,0,0,0,10,9,0,0,0,0,9,7,0,0,0,0,7,0,0,0,0,0,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 3 DIST 2,568,211,1,0,0,0,212,99,3,0,0,0,102,2,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,5,1,0,0,0,0,1,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEES ROCKS WD 3 DIST 3,557,201,8,1,0,0,210,102,2,0,0,0,104,3,0,0,0,0,3,5,0,0,0,0,5,2,0,0,0,0,2,2,0,0,0,0,2,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLVALE DIST 1,584,187,8,1,0,0,196,121,6,2,0,0,129,9,0,0,0,0,9,5,0,0,0,0,5,6,1,0,0,0,7,3,0,0,0,0,3,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLVALE DIST 2,434,140,2,1,0,0,143,120,1,0,0,0,121,7,0,0,0,0,7,6,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLVALE DIST 3,461,159,5,0,0,0,164,94,3,0,0,0,97,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,2,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLVALE DIST 4,435,135,1,1,0,0,137,129,2,0,0,0,131,7,0,0,0,0,7,4,0,0,0,0,4,6,0,0,0,0,6,1,0,0,0,0,1,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLVALE DIST 5,581,206,13,0,0,0,219,135,7,0,0,0,142,11,0,0,0,0,11,6,0,0,0,0,6,8,0,0,0,0,8,5,0,0,0,0,5,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONROEVILLE WARD 1 DIST 1,689,246,11,1,0,0,258,221,1,0,0,0,222,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
