PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 8,705,268,6,0,0,0,274,243,19,0,0,0,262,12,0,0,0,0,12,6,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 9,750,269,23,0,0,0,292,249,7,0,0,0,256,15,0,0,0,0,15,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 10,1012,357,23,1,0,0,381,181,17,1,0,0,199,14,1,0,0,0,15,6,0,0,0,0,6,10,0,0,0,0,10,0,0,0,0,0,0,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 11,1083,416,24,1,0,0,441,206,7,0,0,0,213,12,0,0,0,0,12,3,0,0,0,0,3,4,1,1,0,0,6,1,0,0,0,0,1,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 12,621,220,11,0,0,0,231,216,4,0,0,0,220,15,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,2,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 13,674,226,5,0,0,0,231,289,8,0,0,0,297,11,1,0,0,0,12,6,1,0,0,0,7,5,0,0,0,0,5,1,0,0,0,0,1,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 14,591,196,8,0,0,0,204,228,9,0,0,0,237,11,0,0,0,0,11,3,1,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,1,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 15,770,271,11,0,0,0,282,277,8,0,0,0,285,11,1,0,0,0,12,5,0,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0,1,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 16,883,328,5,0,0,0,333,288,6,0,0,0,294,13,1,0,0,0,14,12,0,0,0,0,12,4,0,0,0,0,4,2,0,0,0,0,2,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 17,680,227,13,0,0,0,240,252,9,0,0,0,261,11,1,0,0,0,12,3,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,0,2,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 18,924,352,13,1,0,0,366,326,5,0,0,0,331,19,1,0,0,0,20,6,0,0,0,0,6,3,0,0,0,0,3,2,0,0,0,0,2,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN TP DIST 1,765,319,14,0,0,0,333,272,10,0,0,0,282,20,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
